empleos,empleos_por_cada_1_000_pernoctaciones,empleos_por_cada_10_000_euros_de_ingresos,empleos_por_cada_100_plazas_alojativas,empleos_por_cada_100_viajeros_entrados,establecimientos,habitaciones,ingresos_por_habitacion,ingresos_totales,plazas,tarifa_media_diaria,tasa_de_ocupacion_por_habitacion,tasa_de_ocupacion_por_plaza
59855.0,7.64,1.6,16.85,5.17,1125.0,149782.0,80.56,374043178.5,355174.0,102.95,78.25,71.12
60623.0,7.96,1.49,17.0,5.77,1135.0,150462.0,90.21,407176105.7,356649.0,107.43,83.96,71.19
61393.0,7.93,1.43,16.95,5.53,1194.0,152670.0,90.42,428337946.2,362110.0,114.3,79.15,68.95
61035.0,7.57,1.41,16.84,5.86,1204.0,152842.0,91.26,432402660.8,362403.0,108.39,84.2,71.75
61374.0,8.06,1.5,17.05,5.82,1203.0,151846.0,95.99,408108456.9,359919.0,112.13,85.6,75.58
63034.0,7.86,1.41,17.47,5.54,1205.0,152187.0,94.45,445623492.2,360870.0,111.61,84.63,71.71
63339.0,8.48,1.73,17.56,5.46,1203.0,152065.0,80.25,366080251.4,360776.0,108.77,73.78,69.04
62244.0,9.1,2.05,17.46,6.13,1191.0,150467.0,65.05,303396729.7,356442.0,92.65,70.21,61.89
63907.0,8.85,2.04,17.94,5.85,1179.0,150311.0,69.32,312582325.1,356259.0,94.43,73.41,67.56
65149.0,7.64,1.63,18.06,5.37,1197.0,152151.0,84.36,399075368.0,360662.0,110.3,76.52,76.31
66158.0,7.21,1.46,18.2,5.35,1209.0,153546.0,95.15,452879082.3,363583.0,117.55,80.94,81.38
66096.0,8.42,1.7,17.98,5.98,1223.0,155285.0,83.33,388194262.8,367697.0,101.88,81.8,71.2
65741.0,7.77,1.51,17.89,5.33,1242.0,155110.0,90.73,434964439.3,367485.0,112.12,80.85,74.28
67170.0,8.14,1.39,18.16,5.94,1252.0,155951.0,103.13,482405689.3,369951.0,118.82,86.79,74.37
67968.0,8.3,1.36,18.37,5.94,1259.0,156192.0,103.0,498695492.3,370053.0,125.11,82.32,71.4
67949.0,7.93,1.36,18.28,6.16,1271.0,156845.0,102.69,500739197.8,371695.0,118.63,86.62,74.39
68038.0,8.1,1.39,18.29,5.85,1284.0,156870.0,112.12,490530004.0,371915.0,123.15,87.86,77.91
68219.0,7.65,1.27,18.37,5.33,1284.0,156772.0,110.84,536565445.9,371414.0,126.69,87.44,77.42
68307.0,8.9,1.73,18.51,6.16,1271.0,155904.0,84.84,395247257.8,369104.0,112.39,75.45,69.33
67769.0,9.22,1.98,18.66,6.11,1241.0,153360.0,71.99,341898702.1,363101.0,99.46,72.39,65.27
68713.0,9.12,1.97,19.0,6.12,1238.0,152731.0,76.22,348861669.5,361736.0,100.62,75.75,69.43
70664.0,7.93,1.6,19.33,5.63,1250.0,154359.0,92.48,441932152.7,365551.0,118.59,77.97,78.6
69076.0,7.34,1.39,18.86,5.34,1249.0,154502.0,103.61,496248597.9,366179.0,125.89,82.3,82.89
70361.0,8.79,1.62,19.18,6.34,1268.0,154831.0,93.33,433490139.9,366904.0,111.56,83.66,72.68
70243.0,7.98,1.44,18.98,5.56,1284.0,156016.0,100.93,488147695.1,369996.0,120.82,83.54,76.71
69786.0,8.38,1.3,18.87,6.0,1297.0,156064.0,114.85,537701241.3,369843.0,129.46,88.72,75.09
71136.0,8.51,1.28,19.05,6.12,1304.0,157613.0,113.72,555643434.9,373355.0,137.08,82.96,72.21
70983.0,8.24,1.28,19.03,6.33,1312.0,157616.0,113.58,554971825.7,373094.0,129.85,87.47,74.52
70425.0,8.61,1.34,18.93,6.13,1310.0,156938.0,119.18,523729649.0,371970.0,133.47,89.3,78.54
71862.0,8.44,1.29,19.41,5.81,1311.0,156322.0,115.16,558066252.1,370230.0,132.44,86.96,74.21
70982.0,9.13,1.58,19.43,5.98,1294.0,154120.0,96.87,447871428.8,365250.0,128.12,75.61,70.92
68766.0,9.68,1.92,19.11,6.13,1269.0,151990.0,75.99,358054121.0,359781.0,105.15,72.27,63.71
69662.0,9.21,1.86,19.36,6.15,1260.0,151977.0,82.27,375077477.3,359829.0,106.78,77.04,70.05
72296.0,8.07,1.51,19.93,5.57,1266.0,153037.0,101.15,479776189.5,362730.0,126.45,79.99,79.66
73191.0,7.77,1.38,20.04,5.6,1276.0,154301.0,111.27,532226206.8,365193.0,133.79,83.17,83.21
72974.0,9.17,1.62,19.8,6.46,1292.0,155801.0,96.48,450948749.9,368511.0,115.77,83.34,71.97
74070.0,8.54,1.45,20.02,5.83,1303.0,156452.0,105.1,509714425.1,369994.0,126.59,83.02,75.64
73965.0,9.09,1.33,19.92,6.32,1310.0,156858.0,117.94,555000165.4,371294.0,135.51,87.03,73.02
76265.0,9.38,1.31,20.49,6.64,1312.0,157368.0,119.36,583969419.3,372119.0,146.81,81.35,70.46
75575.0,8.99,1.29,20.29,6.67,1312.0,157709.0,119.9,587960702.2,372411.0,140.3,85.49,72.8
75364.0,9.3,1.34,20.22,6.51,1312.0,157433.0,127.1,560329704.4,372737.0,143.46,88.59,77.66
75626.0,8.9,1.26,20.26,6.08,1312.0,157760.0,122.88,601038769.6,373344.0,143.74,85.5,73.44
